DFS,11,406300,2025-07-28T23:38:27.513875800
RECURSIVO,9,48900,2025-07-28T23:38:27.512518500
RECURSIVO COMPLETO,8,134300,2025-07-28T23:38:27.513875800
BACKTRACKING,8,59900,2025-07-28T23:38:27.513875800
BFS,8,137400,2025-07-28T23:38:27.513875800
RECURSIVO COMPLETO BT,8,24000,2025-07-28T23:38:27.513875800
